index,ra,dec,mag
469,11.350117,-54.491019,3.9
470,13.517405,-39.407307,3.9
471,4.052606,5.989305,3.91
472,8.427676,-3.906424,3.91
473,12.467331,-50.230635,3.91
474,15.085303,-47.051245,3.91
475,15.592105,-14.789537,3.91
476,16.329011,46.313366,3.91
477,17.004827,30.926405,3.92
478,19.361211,-17.847197,3.92
479,21.263731,5.247845,3.92
480,0.436716,-43.679829,3.93
481,1.520851,-49.072702,3.93
482,2.904295,52.762479,3.93
483,4.605317,-3.352459,3.93
484,7.697004,-72.606098,3.93
485,11.143165,-58.975037,3.93
486,16.113452,-20.669192,3.93
487,18.010754,2.931568,3.93
488,1.139742,-55.24576,3.94
489,7.687454,-9.551131,3.94
490,7.73013,-28.954826,3.94
491,8.74475,18.154309,3.94
492,20.952893,41.167136,3.94
493,2.057268,72.421294,3.95
494,6.611399,-19.255879,3.95
495,13.398996,54.920471,3.95
496,4.144357,47.712513,3.96
497,5.985778,-42.815135,3.96
498,9.010685,41.782911,3.96
499,9.187985,-62.316977,3.96
500,19.377303,-44.458965,3.96
501,19.398103,-40.61594,3.96
502,20.257867,47.714208,3.96
503,23.382842,-20.10058,3.96
504,4.400613,-34.016846,3.97
505,5.858166,39.14848,3.97
506,7.280508,-67.957152,3.97
507,8.668373,-35.308352,3.97
508,12.194202,-52.36846,3.97
509,15.849316,-33.627165,3.97
510,20.009845,-72.910504,3.97
511,22.487825,-43.495565,3.97
512,22.775521,23.565654,3.97
513,3.98275,35.791033,3.98
514,21.56635,45.591837,3.98
515,2.000084,-21.077831,3.99
516,6.247592,-6.274776,3.99
517,10.406592,-74.031612,3.99
518,13.420413,54.987958,3.99
519,23.290498,-58.235734,3.99
520,9.040777,-66.396076,4
521,11.398736,10.529509,4
522,16.199926,-19.460708,4
523,1.727675,50.688732,4.01
524,4.758375,-3.254657,4.01
525,7.068481,20.570297,4.01
526,7.246849,-26.772667,4.01
527,14.699332,-37.793498,4.01
528,16.031532,58.565251,4.01
529,16.330687,-50.155508,4.01
530,18.71726,-71.428113,4.01
531,20.489926,30.368555,4.01
532,8.842204,-27.709844,4.02
533,12.140225,-24.728875,4.02
534,18.993711,15.068298,4.02
535,19.028008,-5.739115,4.02
536,2.288573,33.847194,4.03
537,5.05697,60.442245,4.03
538,8.778284,28.759898,4.03
539,12.9099,-57.177924,4.03
540,18.090913,2.500099,4.03
541,20.553547,11.303263,4.03
542,23.988525,6.863321,4.03
543,4.197761,-6.837581,4.04
544,11.764322,6.529376,4.04
545,14.419967,51.850744,4.04
546,22.589272,-0.117498,4.04
547,3.151005,49.613278,4.05
548,8.308703,-76.919722,4.05
549,8.739987,-42.649276,4.05
550,11.352276,6.029322,4.05
551,13.824623,15.797905,4.05
552,14.342623,-37.885295,4.05
553,14.631454,-49.425828,4.05
554,22.826528,-13.592632,4.05
555,4.939521,13.514466,4.06
556,7.598708,26.895741,4.06
557,11.414702,-17.68401,4.06
558,12.292917,-67.960736,4.06
559,12.307298,-64.003071,4.06
